1539129600000,76.23
1539216000000,76.31
1539302400000,76.92
1539388800000,77.52
1539475200000,77.36
1539561600000,76.23
1539648000000,76.63
1539734400000,76.88
1539820800000,75.61
1539907200000,75.52
1539993600000,75.94
1540080000000,76.66
1540166400000,76.43
1540252800000,77.23
1540339200000,77.92
1540425600000,78.26
1540512000000,77.44
1540598400000,76.80
1540684800000,75.94
1540771200000,75.62
1540857600000,74.89
1540944000000,74.32
1541030400000,73.98
1541116800000,74.22
1541203200000,74.80
1541289600000,74.61
1541376000000,73.78
1541462400000,73.33
1541548800000,72.67
